modality,participant_source_id,source_day,file_name,relative_path,file_size_bytes,parse_status,session_uid,session_id,has_counterpart
dense_caption,A1_JAKE,DAY1,A1_JAKE_DAY1_11000000.srt,EgoLifeCap/DenseCaption/A1_JAKE/DAY1/A1_JAKE_DAY1_11000000.srt,87852,discovered,A1_JAKE_DAY1_11000000,ses_A1_JAKE_DAY1_A1_JAKE_DAY1_11000000,True
dense_caption,A1_JAKE,DAY1,A1_JAKE_DAY1_12000000.srt,EgoLifeCap/DenseCaption/A1_JAKE/DAY1/A1_JAKE_DAY1_12000000.srt,102403,discovered,A1_JAKE_DAY1_12000000,ses_A1_JAKE_DAY1_A1_JAKE_DAY1_12000000,True
dense_caption,A1_JAKE,DAY1,A1_JAKE_DAY1_13000000.srt,EgoLifeCap/DenseCaption/A1_JAKE/DAY1/A1_JAKE_DAY1_13000000.srt,101478,discovered,A1_JAKE_DAY1_13000000,ses_A1_JAKE_DAY1_A1_JAKE_DAY1_13000000,True
dense_caption,A1_JAKE,DAY1,A1_JAKE_DAY1_14000000.srt,EgoLifeCap/DenseCaption/A1_JAKE/DAY1/A1_JAKE_DAY1_14000000.srt,29620,discovered,A1_JAKE_DAY1_14000000,ses_A1_JAKE_DAY1_A1_JAKE_DAY1_14000000,True
dense_caption,A1_JAKE,DAY1,A1_JAKE_DAY1_17000000.srt,EgoLifeCap/DenseCaption/A1_JAKE/DAY1/A1_JAKE_DAY1_17000000.srt,36769,discovered,A1_JAKE_DAY1_17000000,ses_A1_JAKE_DAY1_A1_JAKE_DAY1_17000000,True
dense_caption,A1_JAKE,DAY1,A1_JAKE_DAY1_18000000.srt,EgoLifeCap/DenseCaption/A1_JAKE/DAY1/A1_JAKE_DAY1_18000000.srt,26617,discovered,A1_JAKE_DAY1_18000000,ses_A1_JAKE_DAY1_A1_JAKE_DAY1_18000000,True
dense_caption,A1_JAKE,DAY1,A1_JAKE_DAY1_19000000.srt,EgoLifeCap/DenseCaption/A1_JAKE/DAY1/A1_JAKE_DAY1_19000000.srt,58417,discovered,A1_JAKE_DAY1_19000000,ses_A1_JAKE_DAY1_A1_JAKE_DAY1_19000000,True
dense_caption,A1_JAKE,DAY1,A1_JAKE_DAY1_20000000.srt,EgoLifeCap/DenseCaption/A1_JAKE/DAY1/A1_JAKE_DAY1_20000000.srt,39363,discovered,A1_JAKE_DAY1_20000000,ses_A1_JAKE_DAY1_A1_JAKE_DAY1_20000000,True
dense_caption,A1_JAKE,DAY1,A1_JAKE_DAY1_21000000.srt,EgoLifeCap/DenseCaption/A1_JAKE/DAY1/A1_JAKE_DAY1_21000000.srt,39342,discovered,A1_JAKE_DAY1_21000000,ses_A1_JAKE_DAY1_A1_JAKE_DAY1_21000000,True
dense_caption,A1_JAKE,DAY1,A1_JAKE_DAY1_22000000.srt,EgoLifeCap/DenseCaption/A1_JAKE/DAY1/A1_JAKE_DAY1_22000000.srt,9329,discovered,A1_JAKE_DAY1_22000000,ses_A1_JAKE_DAY1_A1_JAKE_DAY1_22000000,True
dense_caption,A1_JAKE,DAY2,A1_JAKE_DAY2_10000000.srt,EgoLifeCap/DenseCaption/A1_JAKE/DAY2/A1_JAKE_DAY2_10000000.srt,14167,discovered,A1_JAKE_DAY2_10000000,ses_A1_JAKE_DAY2_A1_JAKE_DAY2_10000000,True
dense_caption,A1_JAKE,DAY2,A1_JAKE_DAY2_11000000.srt,EgoLifeCap/DenseCaption/A1_JAKE/DAY2/A1_JAKE_DAY2_11000000.srt,57384,discovered,A1_JAKE_DAY2_11000000,ses_A1_JAKE_DAY2_A1_JAKE_DAY2_11000000,True
dense_caption,A1_JAKE,DAY2,A1_JAKE_DAY2_12000000.srt,EgoLifeCap/DenseCaption/A1_JAKE/DAY2/A1_JAKE_DAY2_12000000.srt,32426,discovered,A1_JAKE_DAY2_12000000,ses_A1_JAKE_DAY2_A1_JAKE_DAY2_12000000,True
dense_caption,A1_JAKE,DAY2,A1_JAKE_DAY2_13000000.srt,EgoLifeCap/DenseCaption/A1_JAKE/DAY2/A1_JAKE_DAY2_13000000.srt,80959,discovered,A1_JAKE_DAY2_13000000,ses_A1_JAKE_DAY2_A1_JAKE_DAY2_13000000,True
dense_caption,A1_JAKE,DAY2,A1_JAKE_DAY2_15000000.srt,EgoLifeCap/DenseCaption/A1_JAKE/DAY2/A1_JAKE_DAY2_15000000.srt,11877,discovered,A1_JAKE_DAY2_15000000,ses_A1_JAKE_DAY2_A1_JAKE_DAY2_15000000,True
dense_caption,A1_JAKE,DAY2,A1_JAKE_DAY2_16000000.srt,EgoLifeCap/DenseCaption/A1_JAKE/DAY2/A1_JAKE_DAY2_16000000.srt,77720,discovered,A1_JAKE_DAY2_16000000,ses_A1_JAKE_DAY2_A1_JAKE_DAY2_16000000,True
dense_caption,A1_JAKE,DAY2,A1_JAKE_DAY2_17000000.srt,EgoLifeCap/DenseCaption/A1_JAKE/DAY2/A1_JAKE_DAY2_17000000.srt,81466,discovered,A1_JAKE_DAY2_17000000,ses_A1_JAKE_DAY2_A1_JAKE_DAY2_17000000,True
dense_caption,A1_JAKE,DAY2,A1_JAKE_DAY2_18000000.srt,EgoLifeCap/DenseCaption/A1_JAKE/DAY2/A1_JAKE_DAY2_18000000.srt,49227,discovered,A1_JAKE_DAY2_18000000,ses_A1_JAKE_DAY2_A1_JAKE_DAY2_18000000,True
dense_caption,A1_JAKE,DAY2,A1_JAKE_DAY2_20000000.srt,EgoLifeCap/DenseCaption/A1_JAKE/DAY2/A1_JAKE_DAY2_20000000.srt,5599,discovered,A1_JAKE_DAY2_20000000,ses_A1_JAKE_DAY2_A1_JAKE_DAY2_20000000,True
dense_caption,A1_JAKE,DAY2,A1_JAKE_DAY2_21000000.srt,EgoLifeCap/DenseCaption/A1_JAKE/DAY2/A1_JAKE_DAY2_21000000.srt,83992,discovered,A1_JAKE_DAY2_21000000,ses_A1_JAKE_DAY2_A1_JAKE_DAY2_21000000,True
dense_caption,A1_JAKE,DAY2,A1_JAKE_DAY2_22000000.srt,EgoLifeCap/DenseCaption/A1_JAKE/DAY2/A1_JAKE_DAY2_22000000.srt,41551,discovered,A1_JAKE_DAY2_22000000,ses_A1_JAKE_DAY2_A1_JAKE_DAY2_22000000,True
dense_caption,A1_JAKE,DAY3,A1_JAKE_DAY3_11000000.srt,EgoLifeCap/DenseCaption/A1_JAKE/DAY3/A1_JAKE_DAY3_11000000.srt,45163,discovered,A1_JAKE_DAY3_11000000,ses_A1_JAKE_DAY3_A1_JAKE_DAY3_11000000,True
dense_caption,A1_JAKE,DAY3,A1_JAKE_DAY3_12000000.srt,EgoLifeCap/DenseCaption/A1_JAKE/DAY3/A1_JAKE_DAY3_12000000.srt,41852,discovered,A1_JAKE_DAY3_12000000,ses_A1_JAKE_DAY3_A1_JAKE_DAY3_12000000,True
dense_caption,A1_JAKE,DAY3,A1_JAKE_DAY3_14000000.srt,EgoLifeCap/DenseCaption/A1_JAKE/DAY3/A1_JAKE_DAY3_14000000.srt,10783,discovered,A1_JAKE_DAY3_14000000,ses_A1_JAKE_DAY3_A1_JAKE_DAY3_14000000,True
dense_caption,A1_JAKE,DAY3,A1_JAKE_DAY3_15000000.srt,EgoLifeCap/DenseCaption/A1_JAKE/DAY3/A1_JAKE_DAY3_15000000.srt,54814,discovered,A1_JAKE_DAY3_15000000,ses_A1_JAKE_DAY3_A1_JAKE_DAY3_15000000,True
